Zipcode,Place Name,State,County,Lat,Lon,
43 6763,Morris,CT,Litchfield,41.6881,-73.176,
46 29860,North Augusta,SC,Aiken,33.6028,-81.974,
41 50123,Humeston,IA,Wayne,40.8469,-93.510,
46 30078,Snellville,GA,Gwinnett,33.8635,-84.008,
47 51570,Shelby,IA,Pottawattamie,41.5339,-95.446,
46 65583,Waynesville,MO,Pulaski,37.7676,-92.210,
41 77009,Houston,TX,Harris,29.7936,-95.367,
42 13763,Endicott,NY,Broome,42.0984,-76.049,
41 72427,Egypt,AR,Craighead,35.864,-90.942,
46 34958,Jensen Beach,FL,Martin,27.2424,-80.224,
46 53274,Milwaukee,WI,Milwaukee,43.0389,-87.906,
48 15329,Prosperity,PA,Washington,40.0224,-80.261,
42 43901,Adena,OH,Jefferson,40.2126,-80.881,
45 1247,North Adams,MA,Berkshire,42.6955,-73.0,
44 69212,Crookston,NE,Cherry,42.9255,-100.773,
51 49725,De Tour Village,MI,Chippewa,45.9939,-83.939,
48 4933,East Newport,ME,Penobscot,44.8209,-69.222,
44 10119,New York,NY,New York,40.7808,-73.977,
58 20425,Washington,DC,District of Columbia,38.8933,-77.014,
42 75903,Lufkin,TX,Angelina,31.2766,-94.567,
47 92109,San Diego,CA,San Diego,32.7969,-117.240,
45 23038,Columbia,VA,Goochland,37.7147,-78.179,
37 79563,Tye,TX,Taylor,32.4477,-99.868,
45 96825,Honolulu,HI,Honolulu,21.2987,-157.698,
41 54226,Maplewood,WI,Door,44.7475,-87.479,
46 26385,Lost Creek,WV,Harrison,39.1725,-80.377,
44 67544,Hoisington,KS,Barton,38.4789,-98.756,
48 85624,Patagonia,AZ,Santa Cruz,31.5353,-110.696,
44 76240,Gainesville,TX,Cooke,33.6547,-97.158,
45 63052,Imperial,MO,Jefferson,38.4069,-90.438,
51 53581,Richland Center,WI,Richland,43.3661,-90.430,
38 88231,Eunice,NM,Lea,32.4392,-103.159,
48 97077,Beaverton,OR,Washington,45.4871,-122.803,
42 21014,Bel Air,MD,Harford,39.5394,-76.356,
44 82401,Worland,WY,Washakie,44.0138,-107.956,
39 54656,Sparta,WI,Monroe,43.954,-90.814,
37 41773,Vicco,KY,Perry,37.202,-83.065,
38 60661,Chicago,IL,Cook,41.8814,-87.64,
45 59722,Deer Lodge,MT,Powell,46.3881,-112.747,
45 97038,Molalla,OR,Clackamas,45.1223,-122.575,
47 3073,North Salem,NH,Rockingham,42.837,-71.220,
42 3851,Milton,NH,Strafford,43.4229,-71.011,
48 50206,New Providence,IA,Hardin,42.2693,-93.175,
41 98481,Tacoma,WA,Pierce,47.2529,-122.444,
41 93621,Dunlap,CA,Fresno,36.7446,-119.089,
43 72167,Traskwood,AR,Saline,34.4508,-92.654,
45 3885,Stratham,NH,Rockingham,43.0194,-70.899,
42 14807,Arkport,NY,Steuben,42.4225,-77.691,
39 49826,Rumely,MI,Alger,46.3483,-87.033,
42 97702,Bend,OR,Deschutes,44.0223,-121.298,
43 55814,Duluth,MN,St. Louis,46.7833,-92.106,
65 99756,Manley Hot Springs,AK,Yukon-Koyukuk (CA),65.0011,-150.633,
44 32211,Jacksonville,FL,Duval,30.348,-81.588,
40 22727,Madison,VA,Madison,38.37,-78.297,
40 75231,Dallas,TX,Dallas,32.8756,-96.749,
39 54660,Tomah,WI,Monroe,43.9838,-90.473,
41 96135,Vinton,CA,Plumas,39.8043,-120.178,
45 91723,Covina,CA,Los Angeles,34.086,-117.884,
42 21221,Essex,MD,Baltimore,39.3086,-76.453,
50 4003,Bailey Island,ME,Cumberland,43.7341,-69.995,
43 72366,Marvell,AR,Phillips,34.5485,-90.941,
44 28610,Claremont,NC,Catawba,35.7211,-81.129,
42 55327,Dayton,MN,Hennepin,45.1982,-93.466,
40 56339,Hoffman,MN,Grant,45.8233,-95.795,
47 71425,Enterprise,LA,Catahoula,31.9064,-91.875,
46 11739,Great River,NY,Suffolk,40.7297,-73.160,
47 92165,San Diego,CA,San Diego,32.7153,-117.157,
42 78538,Edcouch,TX,Hidalgo,26.3328,-97.962,
47 33039,Homestead,FL,Miami-Dade,25.5021,-80.399,
48 24622,Jewell Ridge,VA,Tazewell,37.2094,-81.795,
37 76476,Tolar,TX,Hood,32.3772,-97.880,
42 4945,Jackman,ME,Somerset,45.6351,-70.249,
45 79240,Lelia Lake,TX,Donley,34.8843,-100.767,
46 42419,Henderson,KY,Henderson,37.8072,-87.599,
39 83872,Viola,ID,Latah,46.8583,-116.973,
40 55769,Nashwauk,MN,Itasca,47.42,-93.216,
43 92203,Indio,CA,Riverside,33.7532,-116.267,
44 23359,Hallwood,VA,Accomack,37.8837,-75.604,
40 89424,Nixon,NV,Washoe,39.8272,-119.360,
45 48012,Birmingham,MI,Oakland,42.5467,-83.211,
49 94293,Sacramento,CA,Sacramento,38.5816,-121.494,
46 15639,Hunker,PA,Westmoreland,40.2149,-79.582,
44 57442,Gettysburg,SD,Potter,45.0259,-99.976,
46 22161,Springfield,VA,Fairfax,38.7893,-77.187,
51 70002,Metairie,LA,Jefferson Parish,30.0098,-90.16,
46 69020,Bartley,NE,Red Willow,40.2581,-100.290,
41 23242,Henrico,VA,Henrico,37.4638,-77.39,
47 5667,Plainfield,VT,Washington,44.2622,-72.422,
45 96814,Honolulu,HI,Honolulu,21.2998,-157.843,
46 30127,Powder Springs,GA,Cobb,33.9135,-84.685,
45 42154,Knob Lick,KY,Metcalfe,37.0556,-85.698,
74 94130,San Francisco,CA,City and County of San Francisco,37.8231,-122.369,
41 5744,Florence,VT,Rutland,43.7093,-73.07,
38 84639,Levan,UT,Juab,39.5215,-111.943,
47 75050,Grand Prairie,TX,Dallas,32.7649,-97.011,
40 58224,Dahlen,ND,Nelson,48.1599,-97.957,
39 53784,Madison,WI,Dane,43.0489,-89.338,
47 56566,Naytahwaush,MN,Mahnomen,47.2601,-95.628,
46 72209,Little Rock,AR,Pulaski,34.6725,-92.352,
41 7040,Maplewood,NJ,Essex,40.7279,-74.265,
47 78664,Round Rock,TX,Williamson,30.5145,-97.66,
47 16422,Harmonsburg,PA,Crawford,41.6609,-80.317,
44 55127,Saint Paul,MN,Ramsey,45.0803,-93.087,
45 54221,Manitowoc,WI,Manitowoc,44.1323,-87.59,
